style_id,upc_num,priority,case,availability,qty_on_hand,qty_on_order,qty_total,qty_sales_order,qty_sold_last_6m,qty_avg/mo,months_of_supply,wholesale_price_x,cte_cost,qty_cte_cost,status,2015,2016,2017,2018,2019,2020,2021,2022-01,2022-02,2022-03,2022-04,qt_sales_order,total_sales_2022,qt_on_hand,monthly_avg_2022,wholesale_price_y,color,country_of_origin,warranty,band_color,band_material,case_material,clasp_type,dial_color,movement_type,water_resistant,max_cart_qty,case_size,gender,retail_price,collection
CE1107,796483527706,C,35MM,Available,12.0,0,12.0,10.0,43,7.166666666666667,3.069767441860465,115.0,80.5,805.0,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11.0,6.0,5.0,7.0,4.0,29.0,12.0,7.25,161.0,White,Japan - JP,2 - Year International Limited Warranty,White,Ceramic,Stainless Steel,Fold-Over,White,Quartz,100m - 330ft - 10atm,100.0,35.0,Ladies,230.0,Fb - 01
CE1108,796483528413,C,35MM,Available,17.0,0,17.0,0.0,23,3.8333333333333335,4.434782608695652,115.0,80.5,0.0,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,0.0,2.0,3.0,3.0,10.0,17.0,2.5,161.0,Black,Japan - JP,2 - Year International Limited Warranty,Black,Ceramic,Stainless Steel,Fold-Over,Black,Quartz,100m - 330ft - 10atm,100.0,35.0,Ladies,230.0,Fb - 01
CE1111,796483547278,C,36MM,Available,0.0,0,0.0,10.0,5,0.8333333333333334,12.0,115.0,80.5,805.0,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,1.0,161.0,Brown,China - CN,2 - Year International Limited Warranty,Brown,Ceramic,Stainless Steel,Clasp,Brown,Quartz,100m - 330ft - 10atm,100.0,36.0,Ladies,230.0,Fb - 01
CE1112,796483548251,C,38MM,Available,8.0,0,8.0,5.0,22,3.6666666666666665,3.5454545454545454,115.0,80.5,402.5,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,7.0,1.0,3.0,19.0,8.0,4.75,161.0,Rose gold,China - CN,2 - Year International Limited Warranty,Brown,Ceramic,Ceramic,Buckle,Rose Gold,Quartz,50m - 160ft - 5atm,100.0,38.0,Ladies,230.0,Stella
CE1113,796483548268,C,38MM,Available,14.0,0,14.0,5.0,26,4.333333333333333,4.384615384615385,115.0,80.5,402.5,2021H3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,2.0,4.0,3.0,23.0,14.0,5.75,161.0,Silver,China - CN,2 - Year International Limited Warranty,White,Ceramic,Ceramic,Buckle,Silver,Quartz,50m - 160ft - 5atm,100.0,38.0,Ladies,230.0,Stella
CH2564,691464293086,B,44MM,Available,48.0,0,48.0,40.0,108,18.0,4.888888888888889,75.0,52.5,2100.0,No status reported,71.0,181.0,260.0,381.0,170.0,0.0,42.0,16.0,8.0,27.0,11.0,9.0,62.0,48.0,15.5,105.0,Blue,Japan - JP,2 - Year International Limited Warranty,Black,Leather,Stainless Steel,No clasp type reported,Blue,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,150.0,Coachman
CH2565,691464293093,B,44MM,Delivery within 6 weeks,22.0,0,22.0,60.0,107,17.833333333333332,4.598130841121495,75.0,52.5,3150.0,No status reported,69.0,208.0,272.0,282.0,86.0,86.0,149.0,18.0,7.0,25.0,11.0,9.0,61.0,22.0,15.25,105.0,Brown,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless Steel,No clasp type reported,Brown,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,150.0,Coachman
CH2891,796483033177,B,44MM,Available,2.0,40,42.0,30.0,98,16.333333333333332,4.408163265306123,75.0,52.5,1575.0,No status reported,60.0,100.0,141.0,220.0,100.0,20.0,46.0,11.0,7.0,26.0,11.0,11.0,55.0,2.0,13.75,105.0,Black,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless Steel,No clasp type reported,Black,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,150.0,Coachman
ES2811,691464629922,B,38MM,Available,38.0,0,38.0,50.0,164,27.333333333333332,3.2195121951219514,75.0,52.5,2625.0,No status reported,48.0,119.0,234.0,221.0,263.0,93.0,225.0,31.0,14.0,20.0,44.0,4.0,109.0,38.0,27.25,105.0,Gold,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,No clasp type reported,Gold,Quartz,50m - 160ft - 5atm,10000.0,38.0,Ladies,150.0,Riley
ES2830,691464707514,B,32MM,Available,23.0,0,23.0,0.0,12,2.0,11.5,60.0,42.0,0.0,No status reported,19.0,52.0,37.0,114.0,101.0,20.0,20.0,3.0,6.0,3.0,0.0,0.0,12.0,23.0,3.0,84.0,Brown,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless Steel,No clasp type reported,Brown,Quartz,50m - 160ft - 5atm,10000.0,32.0,Ladies,120.0,Georgia
