style_id,collection,movement_type,retail_price,color,band_color,case,lug_width,gender
ES5241,CARLIE,3 HAND,125.0,YELLOW GOLD,GREEN LEATHER,28MM,12MM,WOMEN
CE1123,FB-01,3 HAND,225.0,RUST BROWN CERAMIC,RUST BROWN CERAMIC,36MM,18MM,WOMEN
CE1124,FB-01,3 HAND,225.0,GREEN CERAMIC,GREEN CERAMIC,36MM,18MM,WOMEN
CE1125,FB-01,3 HAND,225.0,NAVY CERAMIC,NAVY CERAMIC,36MM,18MM,WOMEN
ME3235,HERITAGE,AUTOMATIC 3 HAND DATE,295.0,YELLOW GOLD,YELLOW GOLD,38MM,20MM,WOMEN
ES5242,JACQUELINE,3 HAND DATE,135.0,YELLOW GOLD,YELLOW GOLD MESH,36MM,16MM,WOMEN
ES5244,JACQUELINE,SUN / MOON,135.0,YELLOW GOLD,GREEN CORDUROY,36MM,16MM,WOMEN
ES5248,JACQUELINE,3 HAND,155.0,ROSE GOLD ,RED CROCO LEATHER,34MM,14MM,WOMEN
ES5239,NEUTRA,CHRONOGRAPH,145.0,YELLOW GOLD,GREEN LEATHER,36MM,16MM,WOMEN
ES5243,STELLA,MULTIFUNCTION,155.0,YELLOW GOLD,GREEN LEATHER,37MM,18MM,WOMEN
ES5240,SCARLETTE,3 HAND DAY DATE,135.0,YG / SILVER,YG / SILVER,32MM,16MM,WOMEN
ES5246,RING WATCH,2 HAND,95.0,YELLOW GOLD,YELLOW GOLD,15MM,No lug width reported,WOMEN
ES5247,RING WATCH,2 HAND,95.0,ROSE GOLD ,ROSE GOLD ,15MM,No lug width reported,WOMEN
ES5245,RING WATCH,2 HAND,95.0,SILVER STAINLESS,SILVER STAINLESS,15MM,No lug width reported,WOMEN
ES5249SET,DAISY,3 HAND,175.0,YG / SILVER,YG / SILVER,34MM,14MM,WOMEN
ES5250SET,CARLIE,3 HAND,185.0,SILVER STAINLESS,SILVER STAINLESS,28MM,12MM,WOMEN
ES5251SET,CARLIE,3 HAND,215.0,YELLOW GOLD,YELLOW GOLD MESH,28MM,12MM,WOMEN
ES5252SET,JACQUELINE,3 HAND DATE,205.0,ROSE GOLD ,ROSE GOLD ,36MM,14MM,WOMEN
FS5964,EVERETT,CHRONOGRAPH,185.0,SILVER STAINLESS,SILVER STAINLESS,42MM,18MM,MEN
FS5965,EVERETT,3 HAND DATE,155.0,YELLOW GOLD,YELLOW GOLD,42MM,18MM,MEN
FS5960,FOSSIL BLUE,3 HAND DATE,135.0,SILVER STAINLESS,BLACK LEATHER,42MM,22MM,MEN
FS5961,FOSSIL BLUE,3 HAND DATE,135.0,SILVER STAINLESS,BROWN LEATHER,42MM,22MM,MEN
ME3230,HERITAGE,AUTOMATIC 3 HAND DATE,295.0,YG / SILVER,YG / SILVER,43MM,22MM,MEN
ME3231,HERITAGE,AUTOMATIC 3 HAND DATE,295.0,SILVER STAINLESS,SILVER STAINLESS,43MM,22MM,MEN
ME3232,HERITAGE,AUTOMATIC 3 HAND DATE,295.0,YELLOW GOLD,YELLOW GOLD,43MM,22MM,MEN
ME3233,HERITAGE,AUTOMATIC 3 HAND DATE,275.0,SILVER STAINLESS,BROWN LEATHER,43MM,22MM,MEN
ME3237,INSCRIPTION,AUTOMATIC 2 HAND,255.0,YG / SILVER,YG / SILVER,42MM,22MM,MEN
ME3238,INSCRIPTION,AUTOMATIC 2 HAND,255.0,BLACK IP,BLACK IP,42MM,22MM,MEN
ME3239,INSCRIPTION,AUTOMATIC 2 HAND,255.0,YELLOW GOLD,YELLOW GOLD,42MM,22MM,MEN
FS5962,MACHINE,CHRONOGRAPH,155.0,SILVER STAINLESS,BROWN LEATHER,42MM,22MM,MEN
FS5963,NEUTRA,CHRONOGRAPH,155.0,SILVER STAINLESS,BROWN LEATHER,44MM,22MM,MEN
ME3234,TOWNSMAN,AUTOMATIC 3 HAND,245.0,SILVER STAINLESS,BROWN LEATHER,44MM,22MM,MEN
ME3240,TOWNSMAN,AUTOMATIC 3 HAND,265.0,YELLOW GOLD,YELLOW GOLD MESH,44MM,22MM,MEN
FS5966SET,MINIMALIST,3 HAND,,SILVER STAINLESS,BROWN LEATHER,44MM,22MM,MEN
FS5967SET,TOWNSMAN,CHRONOGRAPH,,SILVER STAINLESS,BROWN LEATHER,44MM,22MM,MEN
FS5968SET,BRONSON,CHRONOGRAPH,,SILVER STAINLESS,"SILVER STAINLESS, BROWN LEATHER, BLACK SILICONE",50MM,24MM,MEN
