style_id,upc_num,gender,collection,size,description,wholesale_price,retail_price,color,country_of_origin,warranty,band_color,band_material,case_material,clasp_type,dial_color,movement_type,water_resistant,max_cart_qty
AM4141,691464216092,Ladies,Serena,28,FOSSIL / LADIES / COLLEAGUE,55.0,110,Mother Of Pearl,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,No clasp type reported,Mother Of Pearl,Quartz,50m - 160ft - 5atm,10000.0
AM4183,691464267100,Ladies,Colleague,28,FOSSIL / LADIES / COLLEAGUE,64.5,129,Mother Of Pearl,Japan - JP,2 - Year International Limited Warranty,Gold,Stainless Steel,Stainless Steel,Deployment,Mother Of Pearl,Quartz,100m - 330ft - 10atm,10000.0
AM4508,796483036277,Ladies,Serena,28,FOSSIL / LADIES / COLLEAGUE,62.5,125,Gold,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,No clasp type reported,Gold,Quartz,50m - 160ft - 5atm,10000.0
AM4532,796483064850,Ladies,Cecile,40,FOSSIL / LADIES / CECILE,74.5,149,Nude,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless Steel,Buckle,White,Quartz,100m - 330ft - 10atm,10000.0
BQ1010,796483055803,Mens,Rhett,42,FOSSIL / MENS / RHETT 42MM,64.5,129,Black,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,Deployment,Black,Quartz,50m - 160ft - 5atm,10000.0
BQ1130,796483065345,Mens,Flynn,48,FOSSIL / MENS / FLYNN 48MM,69.5,139,Black,Japan - JP,2 - Year International Limited Warranty,Black,Leather,Stainless Steel,Buckle,Black,Quartz,50m - 160ft - 5atm,10000.0
BQ3115,796483250796,Ladies,Suitor,36,FOSSIL / LADIES / SUITOR 36MM,69.5,139,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,Deployment,Silver,Quartz,50m - 160ft - 5atm,10000.0
BQ3184,796483297241,Ladies,Typographer,40,FOSSIL / LADIES / TYPOGRAPHER 40MM,69.5,139,Rose Gold,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,Deployment,Rose Gold,Quartz,50m - 160ft - 5atm,10000.0
BQ3210,796483316508,Ladies,Blythe,38,FOSSIL / LADIES / BLYTHE 38MM,74.5,149,Rose Gold,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,Deployment,Rose Gold,Quartz,50m - 160ft - 5atm,10000.0
BQ3222,796483316539,Ladies,Classic Minute Glitz,32,FOSSIL / LADIES / GLITZ 32MM,64.5,129,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,Fold-Over,Silver,Quartz,50m - 160ft - 5atm,10000.0
BQ3304,796483360624,Ladies,Classic Minute W Gli,32,FOSSIL / LADIES / GLI 32MM,64.5,129,Blue,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,Fold-Over,Blue,Quartz,50m - 160ft - 5atm,10000.0
BQ3332,796483372009,Ladies,Suitor Mini,26,FOSSIL / LADIES / SUITOR MINI 26MM,64.5,129,MOP,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,Fold-Over,Mother Of Pearl,Quartz,50m - 160ft - 5atm,10000.0
BQ3333,796483371996,Ladies,Suitor Mini,26,FOSSIL / LADIES / SUITOR MINI 26MM,69.5,139,MOP,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,Fold-Over,Mother Of Pearl,Quartz,50m - 160ft - 5atm,10000.0
BQ3334,796483371989,Ladies,Suitor Mini,26,FOSSIL / LADIES / SUITOR MINI 26MM,69.5,139,MOP,Japan - JP,2 - Year International Limited Warranty,Gold,Stainless Steel,Stainless Steel,Fold-Over,Mother Of Pearl,Quartz,50m - 160ft - 5atm,10000.0
BQ3407,796483393066,Ladies,Suitor,36,FOSSIL / LADIES / SUITOR 36MM,74.5,149,Silver,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless Steel,Buckle,Silver,Quartz,50m - 160ft - 5atm,10000.0
