style_id,status,2015,2016,2017,2018,2019,2020,2021,2022-01,2022-02,2022-03,2022-04,qt_sales_order,total_sales_2022,qt_on_hand,monthly_avg_2022,wholesale_price,color,country_of_origin,warranty,band_color,band_material,case_material,clasp_type,dial_color,movement_type,water_resistant,max_cart_qty,retail_price,collection,gender,case_size
AM4141,No status reported,54.0,135.0,204.0,201.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,Mother of pearl,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless steel,Stainless steel,No clasp type reported,Mother of pearl,Quartz,50m - 160ft - 5atm,10000.0,110.0,Serena,Ladies,28.0
AM4183,Discd,70.0,170.0,174.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,Mother of pearl,Japan - JP,2 - Year International Limited Warranty,Gold,Stainless steel,Stainless steel,Deployment,Mother of pearl,Quartz,100m - 330ft - 10atm,10000.0,129.0,Colleague,Ladies,28.0
AM4481,No status reported,72.0,133.0,251.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5,No color reported,No country reported,No warranty reported,No color reported,No material reported,No material reported,No clasp type reported,No color reported,No movement type reported,No water resistance reported,No max quantity reported,149.0,Cecile,Ladies,40.0
AM4482,Discd,0.0,164.0,138.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.5,No color reported,No country reported,No warranty reported,No color reported,No material reported,No material reported,No clasp type reported,No color reported,No movement type reported,No water resistance reported,No max quantity reported,165.0,Cecile,Ladies,No case size reported
AM4483,No status reported,49.0,106.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.5,No color reported,No country reported,No warranty reported,No color reported,No material reported,No material reported,No clasp type reported,No color reported,No movement type reported,No water resistance reported,No max quantity reported,169.0,Cecile,Ladies,40.0
AM4508,Discd,46.0,96.0,83.0,174.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,Gold,Japan - JP,2 - Year International Limited Warranty,Rose gold,Stainless steel,Stainless steel,No clasp type reported,Gold,Quartz,50m - 160ft - 5atm,10000.0,125.0,Serena,Ladies,28.0
AM4509,Discd,79.0,153.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,No color reported,No country reported,No warranty reported,No color reported,No material reported,No material reported,No clasp type reported,No color reported,No movement type reported,No water resistance reported,No max quantity reported,125.0,Cecile,Ladies,No case size reported
AM4511,Discd,62.0,115.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.5,No color reported,No country reported,No warranty reported,No color reported,No material reported,No material reported,No clasp type reported,No color reported,No movement type reported,No water resistance reported,No max quantity reported,145.0,Cecile,Ladies,No case size reported
AM4522,Discd,27.0,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.5,No color reported,No country reported,No warranty reported,No color reported,No material reported,No material reported,No clasp type reported,No color reported,No movement type reported,No water resistance reported,No max quantity reported,165.0,Cecile,Ladies,No case size reported
AM4532,Discd,47.0,57.0,31.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5,Nude,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,White,Quartz,100m - 330ft - 10atm,10000.0,149.0,Cecile,Ladies,40.0
