style_id,collection,retail_price,color,band_color,gender,quarter,case_size,band_material
ES5212,Carlie mini,125.0,Rose gold,Blue,Women,2022h3,28.0,leather
ES5213,Carlie mini,125.0,Silver,Cream,Women,2022h3,28.0,leather
ES5214,Carlie mini,125.0,Silver,Brown,Women,2022h3,28.0,leather
ES5215,Carlie mini,125.0,Gold,Brown,Women,2022h3,28.0,leather
ES5208,Jacqueline,115.0,Silver,Brown,Women,2022h3,36.0,leather
ES5207,Jacqueline,115.0,Rose gold,Brown,Women,2022h3,36.0,leather
ES5216,Neutra,165.0,Two-tone,Two-tone,Women,2022h3,36.0,silver
ES5217,Neutra,165.0,Silver,Silver,Women,2022h3,36.0,stainless
ES5218,Neutra,165.0,Rose gold,Rose,Women,2022h3,36.0,gold
ES5219,Neutra,165.0,Gold,Yellow,Women,2022h3,36.0,gold
ES5220,Raquel,145.0,Gold,Yellow,Women,2022h3,23.0,gold
ES5221,Raquel,145.0,Silver,Silver,Women,2022h3,23.0,stainless
ES5222,Raquel,145.0,Two-tone,Two-tone,Women,2022h3,23.0,silver
ES5235,Raquel,145.0,Gold,Black,Women,2022h3,23.0,leather
ES5234,Raquel,145.0,Rose gold,Brown,Women,2022h3,23.0,leather
ES5227,Raquel,155.0,Gold,Black,Women,2022h3,23.0,leather
ES5228,Raquel,155.0,Rose gold,Brown,Women,2022h3,23.0,leather
ES5206,Scarlette,135.0,Gold,Yellow,Women,2022h3,32.0,gold
ME3226,Heritage,295.0,Gold,Yellow,Women,2022h3,38.0,gold
ME3227,Heritage,295.0,Two-tone,Two-tone,Women,2022h3,38.0,silver
ME3228,Heritage,295.0,Two-tone,Two-tone,Women,2022h3,38.0,silver
ME3229,Heritage,295.0,Silver,Silver,Women,2022h3,38.0,No material reported
CE1121,Fb - 01,225.0,Brown,Brown,Women,2022h3,36.0,ceramic
CE1122,Stella,205.0,Brown,Brown,Women,2022h3,30.0,ceramic
FS5938,Bronson,125.0,Black,Brown,Men,2022h3,40.0,leather
FS5940,Bronson,145.0,Black,Black,Men,2022h3,40.0,ip
FS5946,Fossil blue,135.0,Silver,Tan,Men,2022h3,42.0,leather
FS5947,Fossil blue,135.0,Silver,Black,Men,2022h3,42.0,silicone
FS5948,Fossil blue,155.0,Silver,Silver,Men,2022h3,42.0,mesh
FS5949,Fossil blue,155.0,Silver,Silver,Men,2022h3,42.0,stainless
FS5950,Fossil blue,155.0,Gold,Yellow,Men,2022h3,42.0,gold
FS5951,Fossil blue,155.0,Two-tone,Two-tone,Men,2022h3,42.0,silver
FS5952,Fossil blue,155.0,Silver,Silver,Men,2022h3,42.0,stainless
LE1156,Fossil blue,195.0,Silver,Silver,Men,2022h3,42.0,stainless
FS5932,Inscription,145.0,Gold,Yellow,Men,2022h3,42.0,gold
FS5933,Inscription,145.0,Silver,Silver,Men,2022h3,42.0,stainless
FS5934,Inscription,125.0,Smoke,Brown,Men,2022h3,42.0,leather
FS5936,Machine,145.0,Brown,Brown,Men,2022h3,42.0,mesh
FS5942,The minimalist,155.0,Gold,Brown,Men,2022h3,42.0,leather
FS5943,The minimalist,175.0,Black,Black,Men,2022h3,42.0,mesh
FS5944,The minimalist,175.0,Silver,Silver,Men,2022h3,42.0,mesh
FS5941,Neutra,155.0,Brown,Brown,Men,2022h3,44.0,leather
ME3221,Heritage,275.0,Silver,Brown,Men,2022h3,43.0,leather
ME3223,Heritage,295.0,Silver,Silver,Men,2022h3,43.0,stainless
ME3224,Heritage,295.0,Silver,Silver,Men,2022h3,43.0,stainless
ME3222,Heritage,275.0,Rose gold,Black,Men,2022h3,43.0,leather
ME3225,Townsman,235.0,Brown,Brown,Men,2022h3,44.0,leather
ES5241,Carlie,125.0,Gold,Green,Women,2022h4,28.0,leather
CE1123,Fb - 01,225.0,Brown,Brown,Women,2022h4,36.0,ceramic
CE1124,Fb - 01,225.0,Green,Green,Women,2022h4,36.0,ceramic
CE1125,Fb - 01,225.0,Blue,Blue,Women,2022h4,36.0,ceramic
ME3235,Heritage,295.0,Gold,Yellow,Women,2022h4,38.0,gold
ES5242,Jacqueline,135.0,Gold,Gold,Women,2022h4,36.0,mesh
ES5244,Jacqueline,135.0,Gold,Green,Women,2022h4,36.0,corduroy
ES5248,Jacqueline,155.0,Rose gold,Red,Women,2022h4,34.0,leather
ES5239,Neutra,145.0,Gold,Green,Women,2022h4,36.0,leather
ES5243,Stella,155.0,Gold,Green,Women,2022h4,37.0,leather
ES5240,Scarlette,135.0,Two-tone,Two-tone,Women,2022h4,32.0,silver
ES5246,Ring watch,95.0,Gold,Yellow,Women,2022h4,15.0,gold
ES5247,Ring watch,95.0,Rose gold,Rose,Women,2022h4,15.0,gold
ES5245,Ring watch,95.0,Silver,Silver,Women,2022h4,15.0,stainless
ES5249SET,Daisy,175.0,Two-tone,Two-tone,Women,2022h4,34.0,silver
ES5250SET,Carlie,185.0,Silver,Silver,Women,2022h4,28.0,stainless
ES5251SET,Carlie,215.0,Gold,Gold,Women,2022h4,28.0,mesh
ES5252SET,Jacqueline,205.0,Rose gold,Rose,Women,2022h4,36.0,gold
FS5964,Everett,185.0,Silver,Silver,Men,2022h4,42.0,stainless
FS5965,Everett,155.0,Gold,Yellow,Men,2022h4,42.0,gold
FS5960,Fossil blue,135.0,Silver,Black,Men,2022h4,42.0,leather
FS5961,Fossil blue,135.0,Silver,Brown,Men,2022h4,42.0,leather
ME3230,Heritage,295.0,Two-tone,Two-tone,Men,2022h4,43.0,silver
ME3231,Heritage,295.0,Silver,Silver,Men,2022h4,43.0,stainless
ME3232,Heritage,295.0,Gold,Yellow,Men,2022h4,43.0,gold
ME3233,Heritage,275.0,Silver,Brown,Men,2022h4,43.0,leather
ME3237,Inscription,255.0,Two-tone,Two-tone,Men,2022h4,42.0,silver
ME3238,Inscription,255.0,Black,Black,Men,2022h4,42.0,ip
ME3239,Inscription,255.0,Gold,Yellow,Men,2022h4,42.0,gold
FS5962,Machine,155.0,Silver,Brown,Men,2022h4,42.0,leather
FS5963,Neutra,155.0,Silver,Brown,Men,2022h4,44.0,leather
ME3234,Townsman,245.0,Silver,Brown,Men,2022h4,44.0,leather
ME3240,Townsman,265.0,Gold,Gold,Men,2022h4,44.0,mesh
FS5966SET,The minimalist,,Silver,Brown,Men,2022h4,44.0,leather
FS5967SET,Townsman,,Silver,Brown,Men,2022h4,44.0,leather
FS5968SET,Bronson,,Silver,Multicolor,Men,2022h4,50.0,silicone
ES5183SET,Carlie,140.0,Gold,Gold,Women,2022h2,28.0,No material reported
