style_id,upc_num,priority,case,availability,qty_on_hand,qty_on_order,qty_total,qty_sales_order,qty_sold_last_6m,qty_avg/mo,cte_cost,qty_cte_cost,collection,retail_price,color,band_color,gender,quarter,case_size,band_material,wholesale_price
ES5183SET,796483573413,2022h2,28MM,Available,0.0,0,0.0,40.0,0,0.0,49.0,1960.0,Carlie,140.0,Gold,Gold,Women,2022h2,28.0,No material reported,70.0
ES5206,796483582408,2022h3,32MM,Delivery more than 6 weeks,0.0,0,0.0,20.0,0,0.0,47.25,945.0,Scarlette,135.0,Gold,Yellow,Women,2022h3,32.0,gold,67.5
ES5212,796483582361,2022h3,28MM,Delivery more than 6 weeks,0.0,0,0.0,20.0,0,0.0,43.75,875.0,Carlie mini,125.0,Rose gold,Blue,Women,2022h3,28.0,leather,62.5
ES5213,796483582385,2022h3,28MM,Delivery more than 6 weeks,0.0,0,0.0,10.0,0,0.0,43.75,437.5,Carlie mini,125.0,Silver,Cream,Women,2022h3,28.0,leather,62.5
ES5214,796483582392,2022h3,28MM,Delivery more than 6 weeks,0.0,0,0.0,20.0,0,0.0,43.75,875.0,Carlie mini,125.0,Silver,Brown,Women,2022h3,28.0,leather,62.5
ES5215,796483582378,2022h3,28MM,Delivery more than 6 weeks,0.0,0,0.0,20.0,0,0.0,43.75,875.0,Carlie mini,125.0,Gold,Brown,Women,2022h3,28.0,leather,62.5
ES5216,796483582514,2022h3,36MM,Delivery more than 6 weeks,0.0,0,0.0,30.0,0,0.0,57.74999999999999,1732.4999999999998,Neutra,165.0,Two-tone,Two-tone,Women,2022h3,36.0,silver,82.5
ES5217,796483582507,2022h3,36MM,Delivery more than 6 weeks,0.0,0,0.0,40.0,0,0.0,57.74999999999999,2309.9999999999995,Neutra,165.0,Silver,Silver,Women,2022h3,36.0,stainless,82.5
ES5218,796483582491,2022h3,36MM,Delivery more than 6 weeks,0.0,0,0.0,30.0,0,0.0,57.74999999999999,1732.4999999999998,Neutra,165.0,Rose gold,Rose,Women,2022h3,36.0,gold,82.5
ES5219,796483582484,2022h3,36MM,Delivery more than 6 weeks,0.0,0,0.0,40.0,0,0.0,57.74999999999999,2309.9999999999995,Neutra,165.0,Gold,Yellow,Women,2022h3,36.0,gold,82.5
ES5220,796483582446,2022h3,23MM,Delivery more than 6 weeks,0.0,0,0.0,20.0,0,0.0,50.75,1015.0,Raquel,145.0,Gold,Yellow,Women,2022h3,23.0,gold,72.5
ES5221,796483582439,2022h3,23MM,Delivery more than 6 weeks,0.0,0,0.0,20.0,0,0.0,50.75,1015.0,Raquel,145.0,Silver,Silver,Women,2022h3,23.0,stainless,72.5
ES5222,796483582453,2022h3,23MM,Delivery more than 6 weeks,0.0,0,0.0,20.0,0,0.0,50.75,1015.0,Raquel,145.0,Two-tone,Two-tone,Women,2022h3,23.0,silver,72.5
ES5227,796483582569,2022h3,23MM,Delivery more than 6 weeks,0.0,0,0.0,10.0,0,0.0,54.25,542.5,Raquel,155.0,Gold,Black,Women,2022h3,23.0,leather,77.5
ES5228,796483582576,2022h3,23MM,Delivery more than 6 weeks,0.0,0,0.0,10.0,0,0.0,54.25,542.5,Raquel,155.0,Rose gold,Brown,Women,2022h3,23.0,leather,77.5
ES5234,796483582422,2022h3,23MM,Delivery more than 6 weeks,0.0,0,0.0,5.0,0,0.0,50.75,253.75,Raquel,145.0,Rose gold,Brown,Women,2022h3,23.0,leather,72.5
ES5235,796483582415,2022h3,23MM,Delivery more than 6 weeks,0.0,0,0.0,5.0,0,0.0,50.75,253.75,Raquel,145.0,Gold,Black,Women,2022h3,23.0,leather,72.5
FS5932,796483582583,2022h3,42MM,Delivery more than 6 weeks,0.0,0,0.0,25.0,0,0.0,50.75,1268.75,Inscription,145.0,Gold,Yellow,Men,2022h3,42.0,gold,72.5
FS5933,796483582354,2022h3,42MM,Delivery more than 6 weeks,0.0,0,0.0,20.0,0,0.0,50.75,1015.0,Inscription,145.0,Silver,Silver,Men,2022h3,42.0,stainless,72.5
FS5934,796483582712,2022h3,42MM,Delivery more than 6 weeks,0.0,0,0.0,10.0,0,0.0,43.75,437.5,Inscription,125.0,Smoke,Brown,Men,2022h3,42.0,leather,62.5
FS5936,796483582323,2022h3,42MM,Delivery more than 6 weeks,0.0,0,0.0,30.0,0,0.0,50.75,1522.5,Machine,145.0,Brown,Brown,Men,2022h3,42.0,mesh,72.5
FS5938,796483582330,2022h3,40MM,Delivery more than 6 weeks,0.0,0,0.0,20.0,0,0.0,43.75,875.0,Bronson,125.0,Black,Brown,Men,2022h3,40.0,leather,62.5
FS5940,796483582347,2022h3,40MM,Delivery more than 6 weeks,0.0,0,0.0,30.0,0,0.0,50.75,1522.5,Bronson,145.0,Black,Black,Men,2022h3,40.0,ip,72.5
FS5941,796483582705,2022h3,44MM,Delivery more than 6 weeks,0.0,0,0.0,30.0,0,0.0,54.25,1627.5,Neutra,155.0,Brown,Brown,Men,2022h3,44.0,leather,77.5
FS5942,796483582675,2022h3,42MM,Delivery more than 6 weeks,0.0,0,0.0,30.0,0,0.0,54.25,1627.5,The minimalist,155.0,Gold,Brown,Men,2022h3,42.0,leather,77.5
FS5943,796483582682,2022h3,42MM,Delivery more than 6 weeks,0.0,0,0.0,30.0,0,0.0,61.24999999999999,1837.4999999999998,The minimalist,175.0,Black,Black,Men,2022h3,42.0,mesh,87.5
FS5944,796483582699,2022h3,42MM,Delivery more than 6 weeks,0.0,0,0.0,20.0,0,0.0,61.24999999999999,1224.9999999999998,The minimalist,175.0,Silver,Silver,Men,2022h3,42.0,mesh,87.5
FS5946,796483582651,2022h3,42MM,Delivery more than 6 weeks,0.0,0,0.0,30.0,0,0.0,47.25,1417.5,Fossil blue,135.0,Silver,Tan,Men,2022h3,42.0,leather,67.5
FS5947,796483582637,2022h3,42MM,Delivery more than 6 weeks,0.0,0,0.0,30.0,0,0.0,47.25,1417.5,Fossil blue,135.0,Silver,Black,Men,2022h3,42.0,silicone,67.5
FS5948,796483582644,2022h3,42MM,Delivery more than 6 weeks,0.0,0,0.0,20.0,0,0.0,54.25,1085.0,Fossil blue,155.0,Silver,Silver,Men,2022h3,42.0,mesh,77.5
FS5949,796483582590,2022h3,42MM,Delivery more than 6 weeks,0.0,0,0.0,30.0,0,0.0,54.25,1627.5,Fossil blue,155.0,Silver,Silver,Men,2022h3,42.0,stainless,77.5
FS5950,796483582613,2022h3,42MM,Delivery more than 6 weeks,0.0,0,0.0,30.0,0,0.0,54.25,1627.5,Fossil blue,155.0,Gold,Yellow,Men,2022h3,42.0,gold,77.5
