style_id,retail_price,collection,qty_on_hand,qty_on_order,qty_total_inv,qty_sold_last_6m,qty_sold_last_6m_calc,qty_avg/mo,qty_avg/mo_calc,wholesale_price,xyz_cost,quarterly_forecast,planned_order,order_quantity
ce1107,219.0,fb-01,12,0,12,43,33,7.17,5.54,109.5,76.65,17,10,5
ce1108,219.0,fb-01,17,0,17,23,13,3.83,2.26,109.5,76.65,7,0,0
ce1111,230.0,fb-01,0,0,0,5,4,0.83,0.67,115.0,80.5,0,10,0
ce1112,219.0,stella,8,0,8,22,19,3.67,3.17,109.5,76.65,11,5,5
ce1113,219.0,stella,14,0,14,26,23,4.33,3.83,109.5,76.65,13,5,0
ch2564,139.0,coachman,48,0,48,108,71,18.0,11.89,69.5,48.65,36,40,0
ch2565,139.0,coachman,22,0,22,107,94,17.83,15.69,69.5,48.65,47,60,30
ch2891,139.0,coachman,2,40,42,98,65,16.33,10.87,69.5,48.65,33,30,0
es2811,139.0,riley,38,0,38,164,159,27.33,26.5,69.5,48.65,80,50,45
es2830,109.0,georgia,23,0,23,12,16,2.0,2.74,54.5,38.15,8,0,0
es3202,119.0,riley,52,0,52,135,125,22.5,20.96,59.5,41.65,63,30,15
es3203,139.0,riley,74,0,74,182,173,30.33,28.96,69.5,48.65,87,30,15
es3204,129.0,riley,20,10,30,160,147,26.67,24.65,64.5,45.15,74,60,45
es3282,109.0,virginia,38,0,38,60,54,10.0,9.02,54.5,38.15,27,0,0
es3284,129.0,virginia,16,0,16,63,58,10.5,9.81,64.5,45.15,29,30,15
es3433,119.0,jacqueline,26,0,26,70,65,11.67,10.87,59.5,41.65,33,20,10
es3434,139.0,jacqueline,19,0,19,56,54,9.33,9.06,69.5,48.65,27,20,10
es3466,149.0,riley,19,0,19,53,40,8.83,6.72,74.5,52.15,20,10,5
es3545,139.0,jacqueline,20,0,20,30,27,5.0,4.5,69.5,48.65,14,0,0
es3546,159.0,jacqueline,22,30,52,48,35,8.0,5.89,79.5,55.65,18,0,0
es3708,99.0,jacqueline,34,0,34,11,18,1.83,3.15,49.5,34.65,9,0,0
es3716,149.0,virginia,30,0,30,58,41,9.67,6.94,74.5,52.15,21,10,0
es3843,119.0,jacqueline,18,10,28,22,24,3.67,4.06,59.5,41.65,12,0,0
es3988,119.0,jacqueline,18,0,18,12,15,2.0,2.52,59.5,41.65,8,0,0
es4274,109.0,jacqueline,35,0,35,42,30,7.0,5.0,54.5,38.15,15,0,0
es4301,139.0,carlie,41,0,41,50,21,8.33,3.52,69.5,48.65,11,0,0
es4317,109.0,scarlettemini,90,50,140,65,30,10.83,5.0,54.5,38.15,15,0,0
es4318,129.0,scarlettemini,30,0,30,55,29,9.17,4.94,64.5,45.15,15,10,0
es4319,129.0,scarlettemini,47,0,47,71,67,11.83,11.2,64.5,45.15,34,0,0
es4341,119.0,carlie,36,0,36,41,20,6.83,3.48,59.5,41.65,10,0,0
es4352,139.0,jacqueline,50,0,50,40,55,6.67,9.3,69.5,48.65,28,0,0
es4432,109.0,carlie,55,0,55,65,46,10.83,7.76,54.5,38.15,23,0,0
es4433,109.0,carlie,24,20,44,56,46,9.33,7.76,54.5,38.15,23,0,0
es4484,109.0,carlie,19,0,19,17,4,2.83,0.67,54.5,38.15,2,0,0
es4502,89.0,carlie,24,0,24,16,11,2.67,1.91,44.5,31.15,6,0,0
es4519,139.0,riley,0,0,0,38,35,6.33,5.94,69.5,48.65,18,30,20
es4627,139.0,jacqueline,38,0,38,43,42,7.17,7.15,69.5,48.65,21,0,0
es4628,159.0,jacqueline,29,0,29,42,32,7.0,5.46,79.5,55.65,16,0,0
es4647,109.0,carliemini,53,30,83,27,29,4.5,4.85,54.5,38.15,15,0,0
es4648,109.0,carliemini,25,30,55,45,21,7.5,3.61,54.5,38.15,11,0,0
es4649,109.0,carliemini,13,0,13,24,20,4.0,3.46,54.5,38.15,10,0,0
es4671,129.0,jacqueline,17,0,17,26,23,4.33,3.96,64.5,45.15,12,0,0
es4699,89.0,carliemini,38,10,48,12,22,2.0,3.81,44.5,31.15,11,0,0
es4700,89.0,carliemini,34,0,34,15,9,2.5,1.61,44.5,31.15,5,0,0
es4701,89.0,carliemini,47,0,47,54,25,9.0,4.31,44.5,31.15,13,0,0
es4735,109.0,carliemini,45,30,75,53,41,8.83,6.94,54.5,38.15,21,0,0
es4744,129.0,fb-01,34,10,44,56,49,9.33,8.31,64.5,45.15,25,0,0
es4745,129.0,fb-01,51,0,51,73,53,12.17,8.89,64.5,45.15,27,0,0
es4746,129.0,fb-01,43,0,43,62,49,10.33,8.19,64.5,45.15,25,0,0
es4748,129.0,fb-01,32,0,32,53,45,8.83,7.61,64.5,45.15,23,0,0
es4823,119.0,copeland,19,0,19,5,3,0.83,0.52,59.5,41.65,2,0,0
es4825,119.0,copeland,12,0,12,7,3,1.17,0.54,59.5,41.65,2,0,0
es4897,129.0,scarlettemini,34,30,64,42,21,7.0,3.63,64.5,45.15,11,0,0
es4898,129.0,scarlettemini,22,0,22,23,18,3.83,3.13,64.5,45.15,9,0,0
es4899,129.0,scarlettemini,40,20,60,39,28,6.5,4.69,64.5,45.15,14,0,0
es4949,129.0,scarlettemini,11,0,11,40,39,6.67,6.54,64.5,45.15,20,10,10
es5068,89.0,carliemini,23,0,23,11,5,1.83,0.94,44.5,31.15,3,0,0
es5089,119.0,jacqueline,24,0,24,23,18,3.83,3.0,59.5,41.65,9,0,0
es5090,139.0,jacqueline,41,0,41,8,2,1.33,0.33,69.5,48.65,1,0,0
es5091,139.0,jacqueline,17,0,17,28,9,4.67,1.54,69.5,48.65,5,0,0
es5092,139.0,jacqueline,22,0,22,15,4,2.5,0.67,69.5,48.65,2,0,0
es5093,139.0,jacqueline,43,0,43,14,4,2.33,0.81,69.5,48.65,2,0,0
es5095,139.0,jacquelinemulti,11,0,11,3,2,0.5,0.41,69.5,48.65,1,0,0
es5096,139.0,jacquelinemulti,10,0,10,9,7,1.5,1.28,69.5,48.65,4,0,0
es5097,139.0,jacquelinemulti,7,0,7,13,5,2.17,0.87,69.5,48.65,3,0,0
es5098,159.0,jacquelinemulti,32,0,32,43,30,7.17,5.09,79.5,55.65,15,0,0
es5099,159.0,jacquelinemulti,36,0,36,58,42,9.67,7.11,79.5,55.65,21,0,0
es5106,159.0,stellasport,24,0,24,86,60,14.33,10.02,79.5,55.65,30,30,10
es5107,159.0,stellasport,24,0,24,76,58,12.67,9.81,79.5,55.65,29,30,10
es5108,159.0,stellasport,29,0,29,86,58,14.33,9.78,79.5,55.65,29,20,5
es5109,159.0,stellasport,24,0,24,72,47,12.0,7.93,79.5,55.65,24,15,0
es5130,159.0,stella,46,0,46,49,45,8.17,7.52,79.5,55.65,23,0,0
es5131,159.0,stella,30,0,30,30,26,5.0,4.35,79.5,55.65,13,0,0
es5136,139.0,stella,41,0,41,39,39,6.5,6.5,69.5,48.65,25,0,0
es5137,139.0,stella,48,0,48,32,24,5.33,4.04,69.5,48.65,12,0,0
es5138,139.0,stella,39,0,39,41,36,6.83,6.15,69.5,48.65,18,0,0
es5150,139.0,scarlettemicro,19,0,19,21,15,3.5,2.59,69.5,48.65,8,0,0
es5151,150.0,stella,19,0,19,11,4,1.83,0.67,75.0,52.5,9,0,0
es5153,150.0,stella,9,0,9,11,4,1.83,0.67,75.0,52.5,6,0,0
es5156,150.0,carlie,24,0,24,16,11,2.67,1.83,75.0,52.5,15,0,0
es5157,150.0,carlie,13,0,13,7,7,1.17,1.17,75.0,52.5,9,0,0
es5158,150.0,carlie,11,0,11,19,13,3.17,2.17,75.0,52.5,21,5,10
es5159,150.0,carlie,11,10,21,29,22,4.83,3.67,75.0,52.5,27,0,10
es5164,160.0,jacqueline,19,0,19,11,9,1.83,1.5,80.0,56.0,15,0,0
es5165,160.0,jacqueline,23,0,23,7,2,1.17,0.33,80.0,56.0,0,0,0
es5166,160.0,jacqueline,20,0,20,15,13,2.5,2.17,80.0,56.0,21,0,5
es5167,160.0,jacqueline,20,0,20,10,4,1.67,0.67,80.0,56.0,9,0,0
es5168,140.0,jacqueline,20,0,20,0,0,0.0,0.0,70.0,49.0,0,0,0
es5173,150.0,scarlette,19,0,19,11,5,1.83,0.83,75.0,52.5,6,0,0
es5176set,260.0,andyandaddisonset,40,0,40,0,0,0.0,0.0,130.0,91.0,0,0,0
es5184,120.0,scarlette,30,20,50,0,0,0.0,0.0,60.0,42.0,0,0,0
es5187,120.0,carlie,0,20,20,0,0,0.0,0.0,60.0,42.0,0,0,0
es5188,120.0,carlie,0,15,15,0,0,0.0,0.0,60.0,42.0,0,0,0
es5189,160.0,carlie,0,20,20,0,0,0.0,0.0,80.0,56.0,0,0,0
es5190,160.0,carlie,0,30,30,0,0,0.0,0.0,80.0,56.0,0,0,0
es5191,170.0,stella,0,20,20,0,0,0.0,0.0,85.0,59.5,0,0,0
es5192,170.0,stella,30,30,60,0,0,0.0,0.0,85.0,59.5,0,0,0
es5193,150.0,stella,0,10,10,0,0,0.0,0.0,75.0,52.5,0,0,0
es5197,140.0,scarlette,0,30,30,0,0,0.0,0.0,70.0,49.0,0,0,0
es5198,140.0,scarlette,0,30,30,0,0,0.0,0.0,70.0,49.0,0,0,0
es5199,140.0,scarlette,0,40,40,0,0,0.0,0.0,70.0,49.0,0,0,0
es5200,140.0,scarlette,0,30,30,0,0,0.0,0.0,70.0,49.0,0,0,0
es5201,140.0,carlie,0,30,30,0,0,0.0,0.0,70.0,49.0,0,0,0
es5202,140.0,carlie,0,30,30,0,0,0.0,0.0,70.0,49.0,0,0,0
es5203,140.0,carlie,0,40,40,0,0,0.0,0.0,70.0,49.0,0,0,0
es5204,140.0,minimalist,8,0,8,2,2,0.33,0.33,70.0,49.0,3,0,0
es5205,130.0,carlie,0,20,20,0,0,0.0,0.0,65.0,45.5,0,0,0
fs4487ie,149.0,machine,42,0,42,48,33,8.0,5.5,74.5,52.15,16,0,0
fs4552,169.0,machine,20,30,50,0,0,0.0,0.0,84.5,59.15,0,0,0
fs4656,159.0,machine,0,0,0,90,74,15.0,12.41,79.5,55.65,37,60,40
fs4682ie,169.0,machine,39,20,59,52,44,8.67,7.41,84.5,59.15,22,0,0
fs4735,129.0,grant,13,0,13,17,11,2.83,1.83,64.5,45.15,6,0,0
fs4736,135.0,grant,0,0,0,40,34,6.67,5.69,67.5,47.25,17,30,20
fs4774ie,129.0,machine,29,0,29,43,24,7.17,4.04,64.5,45.15,12,0,0
fs4775ie,129.0,machine,45,0,45,65,17,10.83,2.93,64.5,45.15,9,0,0
fs4795ie,169.0,dean,76,0,76,57,42,9.5,7.06,84.5,59.15,21,0,0
fs4812,129.0,grant,19,0,19,21,18,3.5,3.04,64.5,45.15,9,0,0
fs4813,129.0,grant,0,0,0,0,0,0.0,0.0,64.5,45.15,0,30,0
fs4835,149.0,grant,34,0,34,87,47,14.5,7.94,74.5,52.15,24,40,0
fs4867ie,169.0,dean,63,0,63,61,35,10.17,5.98,84.5,59.15,18,0,0
fs4931,169.0,machine,35,0,35,56,51,9.33,8.65,84.5,59.15,26,0,0
fs5151,149.0,grant,53,0,53,89,67,14.83,11.22,74.5,52.15,34,0,0
fs5210,129.0,grant,0,20,20,30,21,5.0,3.57,64.5,45.15,11,0,0
fs5251set,169.0,machine,30,0,30,43,54,7.17,9.06,84.5,59.15,27,0,0
fs5279,139.0,townsman,30,10,40,30,25,5.0,4.28,69.5,48.65,13,0,0
fs5304,119.0,minimalist3h,10,10,20,35,19,5.83,3.31,59.5,41.65,10,0,0
fs5305,119.0,minimalist3h,25,0,25,19,17,3.17,2.98,59.5,41.65,9,0,0
fs5308,139.0,minimalist3h,125,60,185,107,49,17.83,8.17,69.5,48.65,24,0,0
fs5380,129.0,neutrachrono,25,0,25,31,22,5.17,3.69,64.5,45.15,11,0,0
fs5381,149.0,neutrachrono,38,20,58,60,45,10.0,7.52,74.5,52.15,23,0,0
fs5384,149.0,neutrachrono,32,0,32,35,24,5.83,4.0,74.5,52.15,12,0,0
fs5437,159.0,townsman,74,0,74,29,20,4.83,3.46,79.5,55.65,10,0,0
fs5439,119.0,minimalist,9,0,9,13,10,2.17,1.69,59.5,41.65,5,0,0
fs5447,129.0,minimalist,28,15,43,22,9,3.67,1.57,64.5,45.15,5,0,0
fs5452,129.0,neutrachrono,19,0,19,23,23,3.83,3.85,64.5,45.15,12,0,0
fs5453,129.0,neutrachrono,29,0,29,40,31,6.67,5.2,64.5,45.15,16,0,0
fs5459,139.0,colorundertones,25,0,25,46,57,7.67,9.57,69.5,48.65,29,0,5
fs5503,149.0,neutra,14,0,14,19,14,3.17,2.48,74.5,52.15,7,0,0
fs5512,149.0,neutrachrono,24,0,24,31,14,5.17,2.37,74.5,52.15,7,0,0
fs5522,159.0,townsman,24,0,24,30,13,5.0,2.3,79.5,55.65,7,0,0
fs5525,169.0,neutrachrono,18,0,18,31,21,5.17,3.65,84.5,59.15,11,5,0
fs5551,119.0,minimalist,17,0,17,24,19,4.0,3.17,59.5,41.65,10,0,0
fs5562set,249.0,andyandaddisonset,0,50,50,33,19,5.5,3.28,124.5,87.15,10,0,0
fs5623,139.0,garrett,59,40,99,61,37,10.17,6.17,69.5,48.65,18,0,0
fs5661,119.0,copeland,19,0,19,1,1,0.17,0.17,59.5,41.65,0,0,0
fs5663,119.0,copeland,14,0,14,11,6,1.83,1.04,59.5,41.65,3,0,0
fs5666,119.0,copeland,18,0,18,14,8,2.33,1.35,59.5,41.65,4,0,0
fs5699,169.0,neutrachrono,7,10,17,22,15,3.67,2.65,84.5,59.15,8,0,0
fs5707,169.0,neutrachrono,25,0,25,30,26,5.0,4.35,84.5,59.15,13,0,0
fs5708set,149.0,neutrachrono,24,0,24,54,26,9.0,4.44,74.5,52.15,13,10,0
fs5711,169.0,bronson,42,0,42,51,40,8.5,6.76,84.5,59.15,20,0,0
fs5712,169.0,bronson,41,10,51,56,46,9.33,7.76,84.5,59.15,23,0,0
fs5713,169.0,bronson,26,0,26,31,35,5.17,5.98,84.5,59.15,18,0,0
fs5714,169.0,bronson,10,30,40,46,41,7.67,6.83,84.5,59.15,20,0,0
fs5735,129.0,neutrachrono,20,10,30,23,17,3.83,2.89,64.5,45.15,9,0,0
fs5756,119.0,minimalist3h,18,0,18,18,12,3.0,2.06,59.5,41.65,6,0,0
fs5763,149.0,neutrachrono,9,0,9,19,15,3.17,2.63,74.5,52.15,8,10,0
fs5772,159.0,garrett,15,30,45,88,65,14.67,10.94,79.5,55.65,33,0,0
fs5791,149.0,neutrachrono,41,0,41,43,27,7.17,4.52,74.5,52.15,14,0,0
fs5792,149.0,neutrachrono,30,30,60,30,15,5.0,2.61,74.5,52.15,8,0,0
fs5795,169.0,everettchrono,39,0,39,64,41,10.67,6.93,84.5,59.15,21,10,0
fs5796,169.0,everettchrono,45,0,45,47,26,7.83,4.43,84.5,59.15,13,0,0
fs5797,169.0,everettchrono,26,0,26,26,19,4.33,3.24,84.5,59.15,10,0,0
fs5798,149.0,everettchrono,11,0,11,34,26,5.67,4.33,74.5,52.15,13,10,5
fs5799,149.0,everettchrono,20,0,20,30,25,5.0,4.2,74.5,52.15,13,0,0
fs5821,149.0,everett3h,28,10,38,45,29,7.5,4.87,74.5,52.15,15,0,0
fs5822,149.0,everett,28,0,28,39,38,6.5,6.44,74.5,52.15,19,0,0
